번호,품목명,구분,질문,답변
11, TV, 가격·요금_적립금 환급,전자상거래로 TV를 구입하고 제품 수령 다음날 단순 변심으로 반품을 신청하였으나 사업자는 결제금액을 적립금으로만 돌려주겠다고 주장합니다. 카드 취소는 안되나요?,"7일 이내 청약 철회 시 카드 취소를 요구할 수 있습니다.   「전자상거래 등에서의 소비자보호에 관한 법률」 제17조에 따르면 소비자는 상품을 공급 받은 날로부터 7일 이내에는 소비자의 귀책사유로 인한 상품의 멸실 또는 훼손된 경우 등을 제외하고는 단순변심으로 인한 청약철회를 할 수 있다고 규정하고 있습니다.이에 소비자가 제품을 수령한 날로부터 7일 이내 청약철회 의사표시를 명확히 하였다면 해당 쇼핑몰은 동법 제18조 제3항에 의거하여 신용카드사에게 대금 청구를 정지하거나 취소하도록 요청하여야 합니다.   다만, ‘결제대금 환급은 적립금으로만 가능하다’ 등의 안내는 청약철회 방해행위에 해당하기에 소비자가 사용한 결제수단에 따른 환급 이행을 해당 쇼핑몰에 요구할 수 있습니다."
12, TV, 가격·요금_환급금액 기준,구입한지 3년이 넘은 TV가 고장났으나 수리가 불가능하여 제조사가 구입가의 50%를 환급해주겠다고 합니다. 그러나 영수증이 없어 구입가를 알 수 없다고 하니 제조사는 출고가격을 기준으로 더 적은 가격을 보상하겠다고 하는데 어떻게 대응해야 하나요?,"실거래가격을 기준으로 보상하되 실거래가격 입증이 어려운 경우 통상적인 가격을 기준으로 삼을 수 있습니다.   「소비자기본법」 시행령 별표1 “일반적 소비자분쟁해결기준”에 따르면 환급금액은 거래 시 교부된 영수증 등에 적힌 물품 등의 가격을 기준으로 합니다.다만, 영수증 등에 적힌 가격에 대하여 다툼이 있는 경우에는 다른 금액을 기준으로 하려는 자가 그 다른 금액이 실제 거래가격임을 입증하여야 하며, 영수증이 없는 등의 사유로 실제 거래가격을 입증할 수 없는 경우에는 그 지역에서 거래되는 통상적인 가격을 기준으로 해야 합니다."
13, TV, 품질_초기불량,"TV를 구입하여 한 달도 되지 않았으나 고장이 나 작동하지 않는데, 교환이나 환불받을 수 있나요?","구매 후 10일 이내에 교환 또는 환급, 1개월 이내에 교환 또는 무상 수리를 요구할 수 있습니다.   텔레비전(TV) 관련 「소비자분쟁해결기준은 품질보증기간 이내에 정상적인 사용상태에서 발생한 성능 기능상의 하자 발생 시 무상수리로 규정하고 있습니다. 또한 구입 시부터 중요한 수리를 요하는 성능·기능상의 하자가 발생한 기간을 기준으로 구분하고 있는데, 구입 후 10일 이내 하자가 발생한 경우 제품교환 또는 구입가 환급, 구입 후 1개월 이내 하자가 발생한 경우 제품교환 또는 무상수리로 규정하고 있습니다.다만 「소비자분쟁해결기준」은 소비자와 사업자 사이에 발생하는 분쟁을 원활하게 해결하기 위한 합의 또는 권고의 기준을 제시한 것으로 강제력을 가지지 못합니다. 사업자 약관이나 규정 등이 존재한다면 사업자 약관 또는 규정을 적용해야 하며 분쟁해결 방법에 관한 별도의 의사표시가 없는 때에는 「소비자분쟁해결기준」을 적용할 수 있습니다."
14, TV, 품질_품질보증기간,구입한 TV 패널의 품질보증기간이 1년으로 표시되어 있어 너무 짧다는 생각이 듭니다. 이에 대한 시정조치를 요구할 수 있나요?,"품질 보증기간을 늘리는 것은 어려우나 무상 수리 등을 요구할 수 있습니다.   「소비자분쟁해결기준」 별표3 “품목별 품질보증기간 및 부품보유기간”에 따르면 TV는 품질보증기간 1년, 부품보유기간 9년으로 규정하고 있습니다.「소비자기본법」 시행령 별표1 “일반적 소비자분쟁해결기준”에 따라 사업자가 정한 품질보증기간과 부품보유기간이 품목별 「소비자분쟁해결기준」에서 정한 기간보다 짧을 경우에는 품목별 「소비자분쟁해결기준」에서 정한 기간으로 보도록 하고 있습니다.   따라서, 사업자가 품질보증기간을 1년으로 운영하는 것은 「소비자분쟁해결기준」에 부합하므로 시정조치를 요구하기는 어렵습니다.다만, 「소비자분쟁해결기준」은 소비자와 사업자 사이에 발생하는 분쟁을 원활하게 해결하기 위한 합의 또는 권고의 기준을 제시한 것으로 강제력을 가지지 못합니다. 사업자 약관이나 규정 등이 존재한다면 사업자 약관 또는 규정을 적용해야 하며 분쟁해결 방법에 관한 별도의 의사표시가 없는 때에는 「소비자분쟁해결기준」을 적용할 수 있습니다."
15, TV, 품질_교환받은 제품의 하자,교환받은 TV가 한 달도 되지 않아 또다시 고장이나 작동하지 않습니다. 어떻게 대응해야 하나요?,구입가 환급을 요구할 수 있습니다.   텔레비전(TV) 관련 「소비자분쟁해결기준은 교환된 제품이 1개월 이내에 중요한 수리를 요할 때 구입가 환급으로 규정하고 있습니다.다만 「소비자분쟁해결기준」은 소비자와 사업자 사이에 발생하는 분쟁을 원활하게 해결하기 위한 합의 또는 권고의 기준을 제시한 것으로 강제력을 가지지 못합니다. 사업자 약관이나 규정 등이 존재한다면 사업자 약관 또는 규정을 적용해야 하며 분쟁해결 방법에 관한 별도의 의사표시가 없는 때에는 「소비자분쟁해결기준」을 적용할 수 있습니다.
16, TV, 품질_배송 중 파손,전자상거래로 구입한 TV가 배송 중 파손되었습니다. 판매자에게 배상을 요구하니 택배회사 측 과실이라며 택배회사에 배상을 요구하라고 하는데 누구에게 배상을 요구해야 하나요?,"판매자가 재배송 또는 구입가 환급을 해주어야 합니다.    판매자는 소비자와 구매계약을 체결하고, 판매자가 택배회사와 배송계약을 체결하였으므로 판매자는 소비자에게 정상적인 물품을 배송해야 하는 책임이 있으며 소비자에게 인도되기 전 배송과정에 대한 문제도 판매자가 관리해야 합니다.따라서 판매자는 소비자에게 정상적인 물품을 재배송 또는 구입가 환급을 해주어야 하며 택배회사의 과실이 인정되면 판매자가 택배회사에 따로 구상권을 행사하여야 합니다."
17, TV, 품질_택배비 부담,사용하던 제품을 수리하기 위해 판매자에게 연락하니 품질보증기간 이내에 해당하므로 무상 수리해 주겠다고 합니다. 그러나 판매자가 수리를 위한 왕복 택배비를 요구하는데 택배비를 누가 물어야 하나요?,"소비자의 과실로 제품을 수리하는 경우가 아니라면 사업자가 부담해야 합니다.   텔레비전(TV) 관련 「소비자분쟁해결기준」에 의하면 품질보증기간 내 수리·교환·환급에 드는 비용은 사업자가 부담하나, 소비자의 취급 잘못이나 천재지변으로 고장이나 손상이 발생한 경우와 제조자 및 제조자가 지정한 수리점·설치점이 아닌 자가 수리·설치하여 물품 등이 변경되거나 손상된 경우에는 사업자가 비용을 부담하지 않는다고 규정하고 있습니다.또한 사업자의 귀책사유로 인한 소비자피해의 처리과정에서 발생되는 운반비용, 시험·검사비용 등의 경비는 사업자가 부담한다고 규정하고 있습니다.따라서 사용 중 소비자의 과실로 수리를 받는 경우라면 소비자가 부담해야 하고, 초기 하자 등 사업자의 과실로 수리를 받는 경우라면 사업자가 부담해야 합니다."
18, TV, 품질_리퍼제품의 품질보증기간,6개월 무상수리를 보증하는 판매자로부터 TV 리퍼상품을 구입하였습니다. 구입 후 6개월이 지난 후 고장이 나 수리를 요구하였으나 판매자는 품질보증기간 경과를 이유로 무상 수리가 아닌 유상 수리를 해야한다고 하는데 무상 수리 가능한가요?,"구매 후 1년 이내 무상 수리 등을 요구할 수 있습니다.    「소비자분쟁해결기준」 별표3 “품목별 품질보증기간 및 부품보유기간”에 따르면 TV는 품질보증기간 1년, 부품보유기간 9년으로 규정하고 있으며, 리퍼제품 등 중고TV도 「소비자기본법」 시행령 별표1 “일반적 소비자분쟁해결기준”에 따라 품질보증기간 1년, 부품보유기간 9년이 적용됩니다.사업자가 정한 품질보증기간과 부품보유기간이 품목별 「소비자분쟁해결기준」에서 정한 기간보다 짧을 경우에는 품목별 「소비자분쟁해결기준」에서 정한 기간으로 보도록 하고 있습니다.다만, 「소비자분쟁해결기준」은 소비자와 사업자 사이에 발생하는 분쟁을 원활하게 해결하기 위한 합의 또는 권고의 기준을 제시한 것으로 강제력을 가지지 못합니다. 사업자 약관이나 규정 등이 존재한다면 사업자 약관 또는 규정을 적용해야 하며 분쟁해결 방법에 관한 별도의 의사표시가 없는 때에는 「소비자분쟁해결기준」을 적용할 수 있습니다."
19, TV, 품질_사은품의 하자로 인한 피해에 대한 보상,TV를 구입하면서 사은품으로 받은 사운드바를 사용하던 중 고장이 났습니다. 판매자는 사은품으로 받은 사운드바에 대해서 교환이 불가능하다고 주장합니다. 사은품이면 고장이 나도 교환을 받을 수 없는건가요?,"사은품도 소비자피해에 대해 수리·교환·환급 또는 배상을 요구할 수 있습니다.   「소비자기본법」 시행령 별표1 “일반적 소비자분쟁해결기준”에 따르면 판매자가 물품등의 거래에 부수하여 제공하는 사은품·경품의 하자·채무불이행 등으로 인한 소비자피해에 대해 수리·교환·환급 또는 배상을 하거나, 계약의 해제·해지 및 이행 등을 하여야 한다고 규정하고 있습니다.따라서 소비자가 제품의 하자로 인해 외이도염이 발생했다는 상당인과관계를 입증한 경우에는 손해배상을 요구할 수 있습니다."
20, TV, 품질_수리만 가능,TV를 구입한지 한 달도 되지 않아 고장나서 작동하지 않습니다. 초기불량으로 새 제품으로 교환받고 싶은데 제조사는 규정상 수리만 가능하다고 주장합니다. 수리 말고 새 제품으로 교환받을 수 있나요?,"관련 계약 내용이 없다면, 교환 또는 수리를 요구할 수 있습니다.    텔레비전(TV) 관련 「소비자분쟁해결기준」에 따르면 구입 시부터 중요한 수리를 요하는 성능·기능상의 하자가 발생한 기간을 기준으로 구분하고 있는데, 구입 후 10일 이내 하자가 발생한 경우 제품교환 또는 구입가 환급, 구입 후 1개월 이내 하자가 발생한 경우 제품교환 또는 무상수리로 규정하고 있습니다.동 규정에서 동일한 피해에 대한 분쟁해결기준을 두 가지 이상 정하고 있는 경우에는 소비자가 선택하는 분쟁해결기준에 따르도록 하고 있습니다. 따라서, 양 당사자 간에 교환 및 수리와 관련된 계약 내용이 없다면 교환 또는 수리를 요구할 수 있습니다.   다만, 「소비자분쟁해결기준」은 소비자와 사업자 사이에 발생하는 분쟁을 원활하게 해결하기 위한 합의 또는 권고의 기준을 제시한 것으로 강제력을 가지지 못합니다. 특히 해당 사안의 경우 제조사가 스스로 품질 보증을 위해 소비자들에게 약정한 내용이므로, 사업자의 해당 약관이나 품질보증 규정 등이 존재한다면 사업자 약관 또는 규정을 적용해야 하며 분쟁해결 방법에 관한 별도의 의사표시가 없는 때에는 「소비자분쟁해결기준」을 적용할 수 있습니다."
21, TV, 품질_수리 불가 시 환급 요구,TV의 하자로 수리를 의뢰했으나 제조사 측에서 검토한 결과 자체 결함으로 인해 완벽히 수리가 되지 않는다고 합니다. 제조사에서는 다른 모델로 교환해준다고 하는데 구입가 환급받을 수 있나요?,"다른 모델로의 교환을 원하지 않는다면, 구입가 환급을 요구할 수 있습니다.   「소비자기본법」 시행령 별표1 “일반적 소비자분쟁해결기준”에 따르면 교환은 같은 종류의 물품 등으로 하되, 같은 종류의 물품 등으로 교환하는 것이 불가능한 경우에는 같은 종류의 유사물품 등으로 교환할 것을 규정하고 있습니다. 다만, 같은 종류의 물품 등으로 교환하는 것이 불가능하고 소비자가 같은 종류의 유사물품 등으로 교환하는 것을 원하지 않을 경우에는 구입가 환급하도록 규정하고 있습니다.이때 환급금액은 거래 시 교부된 영수증 등에 적힌 물품 등의 가격을 기준으로 하는데, 영수증 등에 적힌 가격에 대하여 다툼이 있는 경우에는 다른 금액을 기준으로 하려는 자가 그 다른 금액이 실제 거래가격임을 입증하여야 하며, 영수증이 없는 등의 사유로 실제 거래가격을 입증할 수 없는 경우에는 그 지역에서 거래되는 통상적인 가격을 기준으로 해야 합니다.다만, 품질보증서는 제조사가 스스로 품질 보증을 위해 소비자들에게 약정한 내용이므로 품질보증서 규정 상 구입가 환급이 아닌 새 제품으로의 교환만 가능한 경우 구입가 환급이 어려울 수도 있습니다."
22, TV, 품질_동일 하자의 2차 수리,TV를 사용하던 중 하자가 발생하여 1차 유상 수리를 의뢰했으나 한 달도 되지 않아 동일한 하자가 발생했습니다. 제조사는 2차 수리 역시 유상이라고 안내하고 있는데 수리를 받아도 다시 고장난 것이니 무상 수리를 요청할 수 있나요?,"무상 수리를 요구하고, 수리가 불가능할 경우 기존 수리비 환급을 요구할 수 있습니다.   「소비자기본법」 시행령 별표1 “일반적 소비자분쟁해결기준”에 따르면 물품등을 유상으로 수리한 경우 그 유상으로 수리한 날부터 2개월 이내에 소비자가 정상적으로 물품 등을 사용하는 과정에서 그 수리한 부분에 종전과 동일한 고장이 재발한 경우에는 무상으로 수리하되, 수리가 불가한 때에는 종전에 받은 수리비를 환급하여야 한다고 규정하고 있습니다."
23, TV, 품질_3차례 발생한 동일 하자,TV를 사용하던 중 하자가 발생하여 2차례 수리를 받았으나 동일한 하자가 다시 발생했습니다. 제조사는 재수리 해주겠다고 하나 더 이상 해당 제품을 쓰고 싶지 않은데 환급받을 수 있나요?,제품 교환 또는 구입가 환급을 요구할 수 있습니다.   텔레비전(TV) 관련 「소비자분쟁해결기준」에 따르면 품질보증기간 이내에 동일하자에 대해 2회까지 수리하였으나 하자가 재발하는 경우 또는 여러 부위 하자에 대해 4회까지 수리하였으나 하자가 재발하는 경우는 수리 불가능한 것으로 규정하고 있습니다.또한 텔레비전(TV) 관련 「소비자분쟁해결기준」 상 수리 불가능 시 제품 교환 또는 구입가 환급으로 규정되어 있습니다.다만 「소비자분쟁해결기준」은 소비자와 사업자 사이에 발생하는 분쟁을 원활하게 해결하기 위한 합의 또는 권고의 기준을 제시한 것으로 강제력을 가지지 못합니다. 사업자 약관이나 규정 등이 존재한다면 사업자 약관 또는 규정을 적용해야 하며 분쟁해결 방법에 관한 별도의 의사표시가 없는 때에는 「소비자분쟁해결기준」을 적용할 수 있습니다.
